id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6423,Manchester,United Kingdom of Great Britain and Northern Ireland,53.4685,-2.2915,uk-mnc-as41000.anchors.atlas.ripe.net,176.74.17.75,17575882
6446,London,United Kingdom of Great Britain and Northern Ireland,51.5205,-0.1005,uk-lon-as36236.anchors.atlas.ripe.net,185.40.232.202,18366037
6499,Northampton,United Kingdom of Great Britain and Northern Ireland,52.2815,-0.8685,uk-nhp-as201126.anchors.atlas.ripe.net,153.92.43.251,19505633
6501,Bournemouth,United Kingdom of Great Britain and Northern Ireland,50.7175,-1.8925,uk-boh-as196745.anchors.atlas.ripe.net,37.143.141.141,19583927
6512,Oxford,United Kingdom of Great Britain and Northern Ireland,51.7785,-1.2725,uk-oxf-as28792.anchors.atlas.ripe.net,80.82.241.134,22770559
6515,Redhill,United Kingdom of Great Britain and Northern Ireland,51.2395,-0.1725,uk-reh-as201126.anchors.atlas.ripe.net,153.92.43.249,19954314
6552,Grantham,United Kingdom of Great Britain and Northern Ireland,52.9085,-0.6405,uk-gtm-as201971.anchors.atlas.ripe.net,185.57.191.228,21673100
6609,Milton Keynes,United Kingdom of Great Britain and Northern Ireland,52.0415,-0.8225,uk-mik-as45014.anchors.atlas.ripe.net,185.184.236.30,22782578
6647,Reading,United Kingdom of Great Britain and Northern Ireland,51.4305,-0.9805,uk-rdn-as199610.anchors.atlas.ripe.net,5.62.127.14,23167743
6674,Balderton,United Kingdom of Great Britain and Northern Ireland,53.0495,-0.7895,uk-ldr-as39617.anchors.atlas.ripe.net,194.50.88.164,23498761
6695,Didcot,United Kingdom of Great Britain and Northern Ireland,51.5195,-0.6185,uk-did-as786.anchors.atlas.ripe.net,194.81.236.229,23720871
6716,Bolton,United Kingdom of Great Britain and Northern Ireland,53.5805,-2.4425,uk-blt-as25376.anchors.atlas.ripe.net,82.148.224.6,23795656
7021,Nottingham,United Kingdom of Great Britain and Northern Ireland,52.9875,-1.1715,uk-ntg-as206062.anchors.atlas.ripe.net,185.194.168.88,31569156
7125,Leeds,United Kingdom of Great Britain and Northern Ireland,53.7895,-1.5415,uk-lba-as33920.anchors.atlas.ripe.net,141.170.22.14,43482561
