,Cities,Latency,GeodesicDistance,GCD,GCDPredic,GeodesicPredic,Error Percent
127,"('6066', '6080')",34.936667,1.3287030432008438,1942.6670152053518,39.26029674342201,36.64654354168164,4.894217704515539
128,"('6066', '6101')",50.279365,1.6756397663732725,2548.3634075859272,51.50110791443368,46.21529691889877,8.082974160674516
129,"('6066', '6208')",63.598963,1.7692808156776043,2660.928667684466,53.77599366679302,48.79798144587418,23.272363032280605
130,"('6066', '6222')",24.433116,1.0417488836736006,1505.9652546938894,30.434779775326223,28.732150513538166,17.595113589024695
131,"('6066', '6257')",40.274279,0.6592257770050826,1087.608653202615,21.98000899342731,18.18190021046256,54.85480892044632
132,"('6066', '6274')",86.278316,2.5040376524624386,3496.3145117939052,70.65870999351449,69.06308021987735,19.953143012344672
133,"('6066', '6280')",30.281469,0.4534274284605378,966.1204780427403,19.52479573749558,12.505840251590449,58.70134222487538
134,"('6066', '6287')",49.15816,1.355697599385589,1927.907882523468,38.96202229688489,37.391071962591646,23.937201956721644
135,"('6066', '6373')",31.2868,0.6592257770050826,1083.8768050121112,21.904590269470084,18.18190021046256,41.8863539561011
136,"('6066', '6379')",20.22659,0.23625779246054,559.6093540388814,11.309415935925994,6.516152365851122,67.78422677351386
137,"('6066', '6388')",46.609053,0.7049927430223707,836.0985508120613,16.897119760978068,19.444184602378186,58.28238646604087
138,"('6066', '6389')",31.243959,0.6141363417325567,970.5837705266954,19.61499657273972,16.93830258235456,45.786951703673154
139,"('6066', '6418')",30.412331,0.4377590971348615,705.4150431849608,14.256073586439056,12.07369690015455,60.29999509029891
140,"('6066', '6428')",12.1879,0.5525637024529346,766.2756848817181,15.48603571289087,15.240086853954326,25.04276252639359
141,"('6066', '6557')",28.761428,0.7793205568287075,1122.6469943477825,22.68811576622446,21.494196814625518,25.267282227344488
142,"('6066', '6574')",22.860816,0.7049927430223707,1200.98908640251,24.271368973024785,19.444184602378186,14.945360645139761
143,"('6066', '6613')",31.807392,0.8390401655842548,1306.3755518836324,26.401174994923963,23.141304687036364,27.245513599365946
144,"('6574', '6066')",22.860816,0.7049927430223707,1200.98908640251,24.271368973024785,19.444184602378186,14.945360645139761
145,"('6574', '6080')",43.598124,1.8137661544024937,2611.810055362875,52.78333188776605,50.02491767582431,14.740986735631822
146,"('6574', '6101')",60.116309,2.3325172518918045,3434.7829001571254,69.4151879112159,64.33242963548767,7.013272613738927
147,"('6574', '6208')",62.915843,2.347128159837503,3416.825837384618,69.05228494968371,64.73540852302425,2.892062533477053
148,"('6574', '6222')",7.292643,0.3184620003547993,305.03761092848305,6.164652526254393,8.783400942816307,20.441943240829247
149,"('6574', '6257')",28.617437,1.1059161963430162,1773.1076449773957,35.83358947003289,30.50192911811459,6.585118430118637
150,"('6574', '6274')",59.425318,2.8011557194142167,3855.587423195097,77.91942992291163,77.25780080344627,30.008224446432543
151,"('6574', '6280')",20.552633,0.6720057424384899,1166.0730871737069,23.565734667152245,18.53438044456236,9.819922125975982
152,"('6574', '6287')",33.845037,1.4118343046751574,1965.606404352969,39.72388994699174,38.93936089382257,15.051908183236936
